barren	6
reefs	5
islands	7
coral	5
outcrops	8
overlapping	11
believed	8
rich	4
oil	3
gas	3
flashpoint	10
claims	6
long	4
feared	6
asia	4
conflict	8
armed	5
flexed	6
china	5
philippines	11
muscles	7
wednesday	9
ambassador	10
del	3
rosario	7
warned	6
challenged	10
prepared	8
sovereignty	11
secure	6
vessels	7
philippine	10
navy	4
sending	7
additional	10
shoal	5
lies	4
kilometers	10
miles	5
nearest	7
coast	5
official	8
told	4
associated	10
press	5
spoke	5
anonymity	9
condition	9
authority	9
lack	4
discuss	7
situation	9
media	5
standoff	8
began	5
sunday	6
surveillance	12
spotted	7
plane	5
chinese	7
anchored	8
fishing	7
lagoon	6
scarborough	11
foreign	7
affairs	7
department	10
bracing	7
market	6
euros	5
cash	4
explanation	11
n't	3
put	3
number	6
low	3
london-based	12
analyst	7
banking	7
named	5
lenders	7
spanish	7
aside	5
set	3
provisions	10
top	3
ordered	7
february	8
performing	10
loans	5
defaults	8
bad	3
recession	9
rise	4
unemployment	12
percent	7
government	10
source	6
euro	4
impact	6
capital	7
estimated	9
added	5
rescue	6
systemic	8
lender	6
bankia	6
sa	2
smaller	7
banks	5
make	4
investors	9
figure	6
viewed	6
appetite	8
western	7
powers	6
repeat	6
intervention	12
military	8
libyan	6
helped	6
rebels	6
topple	6
long-time	9
ruler	5
arming	6
moammar	7
gadhafi	7
year	4
moscow	6
opponents	9
assad	5
inconclusive	12
lead	4
years	5
bloodshed	9
fierce	6
clashes	7
regime	6
syrian	6
forces	6
wounded	7
central	7
city	4
rastan	6
monday	6
left	4
soldiers	8
dead	4
dozens	6
observatory	11
human	5
rights	6
monitoring	10
britain-based	13
indicated	9
group	5
initial	7
reports	7
troop	5
destroyed	9
carriers	8
dawn	4
outskirts	9
rebel-held	10
province	8
located	7
homs	4
lieutenant	10
defected	8
killed	6
launched	8
offensive	9
sharp	5
weekend	7
met	3
resistance	10
ouster	6
seeking	7
president	9
bashar	6
al-assad	8
presumptive	11
however	7
trip	4
republican	10
nominee	7
presidential	12
struck	6
mitt	4
romney	6
somber	6
tone	4
release	7
pleased	7
obama	5
returned	8
afghanistan	11
deserve	7
troops	6
american	8
people	6
hear	4
stake	5
war	3
vital	5
success	7
nation	6
security	8
tragedy	7
strategic	9
setback	7
taliban	7
america	7
sanctuary	9
power	5
created	7
terrorists	10
tolerated	9
lost	4
thousands	9
september	9
sacrificed	10
many	4
brave	5
americans	9
win	3
fight	5
future	6
injured	7
man	3
drive	5
car	3
cloverhill	10
prison	6
summoned	8
assistance	10
tallaght	8
general	7
hospital	8
injuries	8
thought	7
threatening	11
life	4
witnesses	9
describe	8
scene	5
shooting	8
saloon	6
silver	6
leaving	7
area	4
discovered	10
pm	2
inchicore	9
fire	4
golden	6
bridge	6
terrace	7
removed	7
forensic	8
examination	11
technical	9
gardai	6
sarsfield	9
road	4
ballyfermot	11
contact	7
ex-soviet	9
authorities	11
leader	6
mikhail	7
gorbachev	9
russian	7
annul	5
parliamentary	13
election	8
vote	4
results	7
hold	4
village	7
residents	9
fled	4
looting	7
setting	7
houses	6
shops	5
shelling	8
reported	8
nearby	6
hayaleen	8
revolution	10
punish	6
